season,game_id,game_date,home,away,y,pts_h,pts_a,am,p_mkt,gp_home,gp_away,ff_ready,carry_active,n_cur_rows,n_out_home,n_out_away,b2b_h,b2b_a,cm,fm,rm_core,prior_term,sched,cont_h,cont_a,m_us,p_us
2023-24,0022300094,2023-10-28,PHX,UTA,1,126,104,22,0.6878806892309335,2,2,1,1,0,0,0,0,1,0.0,2.89021,0.0,1.546269,5.105858,0.5556,0.5556,6.550963,0.7129706910232795
2023-24,0022300090,2023-10-28,NOP,NYK,1,96,87,9,0.6231343912109123,1,2,1,1,0,0,0,0,1,0.0,-1.120837,0.0,-0.762632,5.105858,0.5556,0.5556,4.54544,0.6527866876719941
2023-24,0022300093,2023-10-28,MIN,MIA,1,106,90,16,0.7722859781343504,1,2,1,1,0,0,0,0,1,0.0,1.912241,0.0,-0.623648,5.105858,0.5556,0.5556,6.061979,0.698873953966947
2023-24,0022300089,2023-10-28,WAS,MEM,1,113,106,7,0.5179520501205839,1,2,1,1,0,0,0,0,1,0.0,-3.778463,0.0,-2.289139,5.105858,0.5556,0.5556,3.216627,0.6098671180906678
2023-24,0022300092,2023-10-28,TOR,PHI,0,107,114,-7,0.34376701858128905,2,1,1,1,0,0,0,1,0,0.0,-2.335032,0.0,-1.487641,0.791103,0.5556,0.5556,-0.376413,0.4869330896658273
2023-24,0022300088,2023-10-28,DET,CHI,1,118,102,16,0.41115435030019515,2,2,1,1,0,0,0,1,1,0.0,-7.489192,0.0,-5.037899,3.690454,0.5556,0.5556,-0.054142,0.49812006260385105
2023-24,0022300098,2023-10-29,PHI,POR,1,126,98,28,0.796561813968603,2,2,1,1,0,0,0,1,0,0.0,5.537524,0.0,4.462106,0.791103,0.5556,0.5556,3.559865,0.621148473582415
2023-24,0022300095,2023-10-29,OKC,DEN,0,95,128,-33,0.37686560878908776,2,2,1,1,0,0,0,0,0,0.0,-1.500929,0.0,-1.981223,2.206508,0.5556,0.5556,1.456043,0.5503854637262344
2023-24,0022300100,2023-10-29,SAC,LAL,1,132,127,5,0.5888456496998049,2,2,1,1,0,0,0,0,0,0.0,1.704214,0.0,0.529407,2.206508,0.5556,0.5556,3.058615,0.6046331021751165
2023-24,0022300096,2023-10-29,HOU,GSW,0,95,106,-11,0.2539630763198815,2,2,1,1,0,0,0,0,0,0.0,-7.418027,0.0,-5.146776,2.206508,0.5556,0.5556,-1.502506,0.4480181695247315
2023-24,0022300097,2023-10-29,MIL,ATL,0,110,127,-17,0.7178674702465342,1,2,1,1,0,0,0,0,0,0.0,2.147928,0.0,1.522165,2.206508,0.5556,0.5556,3.280472,0.611974859096052
2023-24,0022300099,2023-10-29,LAC,SAS,1,123,83,40,0.796561813968603,2,2,1,1,0,0,0,0,0,0.0,6.816901,0.0,5.476026,2.206508,0.5556,0.5556,5.614958,0.6856489361126223
2023-24,0022300102,2023-10-30,IND,CHI,0,105,112,-7,0.6231343912109123,2,3,1,1,0,0,0,0,0,0.0,-3.592106,0.0,-2.356628,2.206508,0.5556,0.5556,0.410455,0.5142480430368538
2023-24,0022300103,2023-10-30,WAS,BOS,0,107,126,-19,0.1811432968376197,2,2,1,1,0,0,0,0,0,0.0,-4.128386,0.0,-4.102127,2.206508,0.5556,0.5556,0.142315,0.5049413280600686
2023-24,0022300110,2023-10-30,DEN,UTA,1,110,102,8,0.796561813968603,3,3,1,1,0,0,0,1,0,0.0,4.053162,0.0,2.976754,0.791103,0.5556,0.5556,2.817684,0.5966064533117494
2023-24,0022300101,2023-10-30,CHA,BKN,0,121,133,-12,0.44632827295194966,2,2,1,1,0,0,0,0,0,0.0,-5.21129,0.0,-3.596868,2.206508,0.5556,0.5556,-0.399137,0.4861446206638567
2023-24,0022300109,2023-10-30,OKC,DET,1,124,112,12,0.7178674702465342,3,3,1,1,0,0,0,1,0,0.0,6.899559,0.0,4.779301,0.791103,0.5556,0.5556,4.240883,0.6431383095821331
2023-24,0022300106,2023-10-30,MEM,DAL,0,110,125,-15,0.5536717270480503,3,2,1,1,0,0,0,0,0,0.0,2.159772,0.0,1.718485,2.206508,0.5556,0.5556,3.286394,0.6121701657195143
2023-24,0022300111,2023-10-30,LAL,ORL,1,106,103,3,0.6231343912109123,3,2,1,1,0,0,0,1,0,0.0,1.3791,0.0,1.998738,0.791103,0.5556,0.5556,1.480653,0.551231150902361
2023-24,0022300107,2023-10-30,MIL,MIA,1,122,114,8,0.7460369236801184,2,3,1,1,0,0,0,1,0,0.0,3.312944,0.0,1.22704,0.791103,0.5556,0.5556,2.447575,0.584176196064231
2023-24,0022300108,2023-10-30,NOP,GSW,0,102,130,-28,0.5888456496998049,2,3,1,1,0,0,0,0,1,0.0,-0.18231,0.0,-0.047769,5.105858,0.5556,0.5556,5.014703,0.6674083389366389
2023-24,0022300105,2023-10-30,TOR,POR,0,91,99,-8,0.796561813968603,3,3,1,1,0,0,0,0,1,0.0,3.202492,0.0,2.974465,5.105858,0.5556,0.5556,6.707104,0.7173880689438134
2023-24,0022300104,2023-10-30,ATL,MIN,1,127,113,14,0.41115435030019515,3,2,1,1,0,0,0,1,0,0.0,-0.747224,0.0,0.328524,0.791103,0.5556,0.5556,0.417491,0.5144921599954979
2023-24,0022300114,2023-10-31,LAC,ORL,1,118,102,16,0.7178674702465342,3,3,1,1,102,3,1,0,1,7.731499,3.06621,0.766258,1.18951,4.995602,0.6096,0.7738,10.394457,0.8090230283065988
2023-24,0022300112,2023-10-31,CLE,NYK,0,91,109,-18,0.44632827295194966,3,3,1,1,102,2,0,0,0,-1.702531,1.371208,0.067518,0.850478,2.114936,0.6297,0.9061,1.949275,0.5672727602366574
2023-24,0022300113,2023-10-31,PHX,SAS,0,114,115,-1,0.7460369236801184,3,3,1,1,102,1,0,0,0,6.893976,10.974064,2.258939,5.459624,2.114936,0.1931,0.6978,11.048956,0.8226750396751653
2023-24,0022300124,2023-11-01,DAL,CHI,1,114,105,9,0.5888456496998049,3,4,1,1,102,1,0,0,0,3.011874,1.487592,1.899965,-0.602376,2.114936,0.5023,0.8551,4.364669,0.6470744114273863
2023-24,0022300117,2023-11-01,ATL,WAS,1,130,121,9,0.8188567031623804,4,3,1,1,102,0,1,0,0,10.604651,2.398726,1.299719,0.690507,2.114936,0.8019,0.5176,8.616625,0.7679467427300796
2023-24,0022300127,2023-11-01,LAL,LAC,1,130,125,5,0.6231343912109123,4,4,1,1,102,3,3,0,1,0.07549,-2.946872,-1.976629,0.47653,4.995602,0.3762,0.6096,3.559911,0.6211499635745735
2023-24,0022300122,2023-11-01,HOU,CHA,1,128,119,9,0.6231343912109123,3,3,1,1,102,0,0,0,0,0.351404,-3.231106,-1.150405,-0.781311,2.114936,0.4981,0.6102,0.675085,0.5234232969372894
2023-24,0022300118,2023-11-01,BOS,IND,1,155,104,51,0.857658513410342,3,3,1,1,102,0,2,0,0,12.835261,6.06545,0.524731,4.366842,2.114936,0.6096,0.8529,11.565292,0.8328957360667884
2023-24,0022300115,2023-11-01,DET,POR,0,101,110,-9,0.6231343912109123,4,4,1,1,102,2,1,0,0,-0.53924,0.020405,1.478907,-1.724168,2.114936,0.5484,0.3903,1.855519,0.5640735125227677
2023-24,0022300126,2023-11-01,GSW,SAC,1,102,101,1,0.7460369236801184,4,3,1,1,102,2,1,0,0,10.931246,0.896521,1.551515,-0.259319,2.114936,0.6055,0.813,8.02882,0.753081262364837
2023-24,0022300120,2023-11-01,NYK,CLE,0,89,95,-6,0.6878806892309335,4,4,1,1,102,1,1,1,1,3.082539,-1.371208,-0.114063,-0.850478,3.889517,0.9061,0.6297,4.745182,0.6590476511664153
2023-24,0022300123,2023-11-01,MIN,DEN,1,110,89,21,0.41115435030019515,3,4,1,1,102,0,0,0,0,-3.319054,-4.981272,-1.945222,-2.04341,2.114936,0.6984,0.693,-2.035226,0.42979923092502437
2023-24,0022300125,2023-11-01,UTA,MEM,1,133,109,24,0.5888456496998049,4,4,1,1,102,0,1,0,0,-4.037051,-4.535695,-0.420972,-1.777579,2.114936,0.6598,0.5761,-2.171436,0.425169231124007
2023-24,0022300121,2023-11-01,OKC,NOP,0,106,110,-4,0.6231343912109123,4,3,1,1,102,3,1,0,0,-3.257684,0.000327,0.554284,-0.392214,2.114936,0.7616,0.5903,0.486258,0.5168775413014673
2023-24,0022300116,2023-11-01,TOR,MIL,1,130,111,19,0.34376701858128905,4,3,1,1,102,2,0,0,0,-3.290792,-2.051728,-0.200623,-0.834355,2.114936,0.7515,0.5068,-0.556323,0.48069281768746114
2023-24,0022300119,2023-11-01,MIA,BKN,0,105,109,-4,0.7178674702465342,4,3,1,1,102,6,4,0,0,2.827911,-4.593866,-1.116573,0.149347,2.114936,0.652,0.5381,1.231959,0.5426722908533409
2023-24,0022300129,2023-11-02,NOP,DET,1,125,116,9,0.656232981418711,4,5,1,1,102,2,1,1,1,5.309505,5.843694,-1.069941,4.215655,3.889517,0.5903,0.5484,9.466117,0.7883049904362285
2023-24,0022300131,2023-11-02,PHX,SAS,0,121,132,-11,0.8188567031623804,4,4,1,1,102,1,0,0,0,10.108935,10.974064,2.258939,5.459624,2.114936,0.1931,0.6978,12.656436,0.8529387150255514
2023-24,0022300128,2023-11-02,PHI,TOR,1,114,99,15,0.7460369236801184,3,5,1,1,102,2,1,0,1,3.53672,4.586068,1.683213,1.304751,4.995602,0.6444,0.7515,9.056996,0.7786671596182702
2023-24,0022300130,2023-11-02,UTA,ORL,0,113,115,-2,0.44632827295194966,5,4,1,1,102,0,1,1,0,-2.070819,-2.073311,-2.550873,0.707222,1.008851,0.6598,0.7738,-1.063214,0.46314979138737394
2023-24,0022300007,2023-11-03,POR,MEM,1,115,113,2,0.37686560878908776,5,5,1,1,102,2,2,0,0,-5.089258,-6.490321,-0.096851,-3.080428,2.114936,0.3903,0.5761,-3.674853,0.37510062885655027
2023-24,0022300001,2023-11-03,IND,CLE,1,121,116,5,0.44632827295194966,4,5,1,1,102,1,0,0,0,-6.420852,-5.049881,0.834179,-3.651516,2.114936,0.8529,0.6297,-3.62043,0.37687406682218383
2023-24,0022300002,2023-11-03,MIL,NYK,1,110,105,5,0.7178674702465342,4,5,1,1,102,1,1,0,0,0.982489,-0.348389,0.047244,0.074203,2.114936,0.5068,0.9061,2.431986,0.5836501504365325
2023-24,0022300004,2023-11-03,CHI,BKN,0,107,109,-2,0.6231343912109123,5,4,1,1,102,1,2,0,0,-0.306257,-2.20468,-1.615682,0.310172,2.114936,0.8551,0.5381,0.859467,0.5298072331047643
2023-24,0022300003,2023-11-03,MIA,WAS,1,121,114,7,0.7722859781343504,5,4,1,1,102,6,1,0,0,8.831354,-0.673076,0.070522,0.926607,2.114936,0.652,0.5176,6.194075,0.7027208628296756
2023-24,0022300005,2023-11-03,OKC,GSW,0,139,141,-2,0.2821325297534659,5,5,1,1,102,4,2,0,0,-11.71803,-2.279272,-1.655095,-0.385957,2.114936,0.7616,0.6055,-4.883715,0.3366422251895327
2023-24,0022300006,2023-11-03,DEN,DAL,1,125,114,11,0.6878806892309335,5,4,1,1,102,0,1,0,0,2.853322,4.60477,1.262007,1.980476,2.114936,0.693,0.5023,5.843982,0.6924640276107348
2023-24,0022300132,2023-11-04,PHI,PHX,1,112,100,12,0.6878806892309335,4,5,1,1,102,2,1,0,0,4.611875,2.074208,0.325644,1.094185,2.114936,0.6444,0.1931,5.457978,0.6809307490655186
2023-24,0022300137,2023-11-04,HOU,SAC,1,107,89,18,0.41115435030019515,4,4,1,1,102,1,1,0,0,-0.707455,-9.86362,-1.715085,-4.587218,2.114936,0.4981,0.813,-3.170601,0.3916549013467001
2023-24,0022300134,2023-11-04,ORL,LAL,1,120,101,19,0.37686560878908776,5,5,1,1,102,3,3,0,0,-6.953759,-0.119339,1.285439,-1.666039,2.114936,0.7738,0.3762,-1.421612,0.4507981965846269
2023-24,0022300139,2023-11-04,DEN,CHI,1,123,101,22,0.796561813968603,6,6,1,1,102,0,1,1,1,8.273537,6.092363,3.117516,1.3781,3.889517,0.693,0.8551,11.072467,0.8231508891451186
2023-24,0022300138,2023-11-04,MIN,UTA,1,123,95,28,0.7460369236801184,4,6,1,1,102,0,1,0,0,7.185162,3.846003,1.457766,0.337993,2.114936,0.6984,0.6598,7.630519,0.7426512256273293
2023-24,0022300135,2023-11-04,NOP,ATL,0,105,123,-18,0.5536717270480503,5,5,1,1,102,0,0,0,0,-1.2434,0.491945,-1.117328,0.58226,2.114936,0.5903,0.8019,1.739209,0.560097256254046
2023-24,0022300133,2023-11-04,IND,CHA,0,124,125,-1,0.6878806892309335,5,4,1,1,102,0,0,1,0,2.368711,2.727954,1.099358,1.400044,1.008851,0.8529,0.6102,3.557183,0.6210608110925291
2023-24,0022300136,2023-11-04,BKN,BOS,0,114,124,-10,0.2034381860313969,5,4,1,1,102,3,1,1,0,-8.883057,-2.51385,-0.582112,-2.709548,1.008851,0.5381,0.6096,-4.689603,0.34268905760466556
2023-24,0022300141,2023-11-05,SAS,TOR,0,116,123,-7,0.34376701858128905,5,6,1,1,102,1,2,0,0,-7.099427,-8.462204,-0.809193,-5.249057,2.114936,0.6978,0.7515,-5.665879,0.31282873698996194
2023-24,0022300143,2023-11-05,DAL,CHA,1,124,118,6,0.8392015046448209,5,5,1,1,102,2,1,0,1,10.038889,5.562465,1.357302,2.765134,4.995602,0.5023,0.6102,12.796279,0.8553583271444791
2023-24,0022300144,2023-11-05,POR,MEM,0,100,112,-12,0.37686560878908776,6,6,1,1,102,2,4,0,0,-5.132685,-6.490321,-0.096851,-3.080428,2.114936,0.3903,0.5761,-3.696567,0.37439400793882827
2023-24,0022300142,2023-11-05,CLE,GSW,1,115,104,11,0.5179520501205839,6,6,1,1,102,1,0,0,0,-2.462016,0.2488,-1.92825,1.504972,2.114936,0.6297,0.6055,1.008328,0.5349542810046667
2023-24,0022300140,2023-11-05,DET,PHX,0,106,120,-14,0.37686560878908776,6,6,1,1,102,2,2,0,1,-7.373417,-7.112629,-0.462829,-4.314307,4.995602,0.5484,0.1931,-2.247421,0.4225920354881583
2023-24,0022300151,2023-11-06,NYK,LAC,1,111,97,14,0.5536717270480503,6,5,1,1,102,0,3,0,0,-0.75149,-0.072857,-2.23746,1.354588,2.114936,0.9061,0.6096,1.702763,0.5588496701731768
2023-24,0022300149,2023-11-06,BKN,MIL,0,125,129,-4,0.34376701858128905,6,5,1,1,102,2,1,0,0,-6.553673,0.221316,0.796853,-1.217947,2.114936,0.5381,0.5068,-1.051242,0.46356324811560784
2023-24,0022300153,2023-11-06,HOU,SAC,1,122,97,25,0.41115435030019515,5,5,1,1,102,1,1,0,0,-0.707455,-9.86362,-1.715085,-4.587218,2.114936,0.4981,0.813,-3.170601,0.3916549013467001
2023-24,0022300154,2023-11-06,MIN,BOS,1,114,109,5,0.37686560878908776,5,5,1,1,102,1,2,0,0,-4.134995,-3.60744,-1.008535,-3.064686,2.114936,0.6984,0.6096,-1.756281,0.4393186045348949
